Kod 	Klartext
89213 	Rhabdomyosarkom med ganglielik differentiering
89303 	Endometrialt stromacellssarkom, höggradigt och UNS (C54.1)
89313 	Endometrialt stromacellssarkom, låggradigt (endolymfatisk stromamyos, endometrie
89333 	Adenosarkom
89361 	GIST UNS (gastrointestinal stroma cellstumör med oklar malign potential/misstänk
89363 	GIST (gastrointestinalt stromacellssarkom)
89401 	Misstänkt blandsvulst, (av spottkörteltyp)
88123 	Fibrosarkom periostalt
88150 	Solitär fibrös tumör, intrakraniellt & spinalt
88151 	Solitär fibrös tumör, malign misstänkt
88521 	Liposarkom, myxoitt misstänkt malignt
88553 	Liposarkom, blandad
89331 	Misstänkt adenosarkom
88321 	Dermatofibrosarcoma protuberans, misstänkt malignt(C44, hud)
89403 	Blandtumör (mixed tumor) malign
89411 	Misst mal pleomorft adenom
89413 	Malignt pleomorft adenom
89501 	Misstänkt Mullersk blandtumör
89503 	Mûllersk blandtumör
89511 	Misstänkt mesodermal blandtumör
89513 	Mesodermal tumör, malign
89601 	Misstänkt nefroblastom/Wilms tumör
89603 	Nefroblastom /Wilms tumör/Nefrom UNS
89641 	Misstänkt klarcellssarkom
89643 	Klarcellssarkom
89701 	Misstänkt hepatoblastom
89703 	Hepatoblastom
89721 	Misstänkt pulmonärt blastom
89723 	Blastom, pulmonärt (pneumoblastom, lungblastom)
89801 	Misstänkt carcinosarkom
89803 	Carcinosarkom UNS
89811 	Misstänkt carcinosarkom av embryonal typ
89813 	Carcinosarkom av embryonal typ
89823 	Myoepitelialt carcinom
89901 	Misstänkt mesenkymom
89903 	Mesenkymom, malignt
90001 	Brennertumör Borderlinetumör
90003 	Brennertumör, malign
90141 	Serös, av adenofibromtyp (ovanlig) Borderlinetumör
90143 	Adenocarcinofibrom, serös
90200 	Adenoma phyllodes
90201 	Phyllodes tumör, UNS/borderline
90203 	Phyllodes tumör, malign
90401 	Misstänkt synovialom
90403 	Synovialt sarkom UNS
90433 	Synovialt sarkom
90441 	Misstänkt klarcellssarkom
90443 	Klarcellssarkom, UNS
90501 	Misst mesotheliom
90503 	Mesoteliom, malignt (C38.0, C38.4)
90513 	Mesoteliom, fibröst, malignt (C38.0, C38.4)
90523 	Mesoteliom, epiteloitt, malignt (C38.0, C38.4)
90533 	Mesoteliom, bifasiskt, malignt (C38.0, C38.4)
90540 	Adenomatoid tumö, UNS
90601 	Misstänkt dysgerminom
90603 	Dysgerminom
90611 	Misstänkt seminom
90612 	Seminom, in situ
90613 	Seminom, UNS
906130 	Seminom/non seminom AFP förhöjning
90633 	Seminom, spermatocytiskt
90641 	Misstänkt germinom
90642 	Germinalcellstumör intratubulär (IGCNU)
90643 	Germinom
90653 	Germinalcellstumör, utan seminomkomponent
90701 	Misstänkt embryonalt carcinom
90703 	Embryonalt carcinom UNS
90711 	Misstänkt gulsäckstumör/Endodermal sinustumör
90713 	"Endodermal sinustumör ""yolk sac tumor"" (gulesäckstumör)"
89593 	Malign cystisk nefrom
90413 	Synovialt sarkom, spolcelligt
90423 	Synovialt sarkom, epiteloitt
90652 	Germinalcellstumör, utan seminomkomponent, in situ
89412 	Pleomorft adenom, in situ
89633 	Rhabdoid tumor, malign
89713 	Pankreatoblastom
906110 	Seminom med AFP-stegring/non seminom, misstänkt
90721 	Misstänkt embryonalt carcinom
90723 	Embryonalt carcinom av polyembryonal typ
90800 	Teratom, benignt
90801 	Teratom, UNS
90803 	Teratom, malignt
90813 	Teratocarcinom (blandat embryonalt carcinom och teratom)
90840 	Cysta dermoid
90841 	Misstänkt dermoidcysta med malign omvandling
90843 	Dermoidcysta med malign omvandling
90853 	Germinalcellstumör, blandad (teratom, malignt och seminom, malignt)
90903 	Struma ovarii, malign
90911 	Carcinoid i struma ovarii
91000 	Mola/mola hydatidosa (druvbörd) även partiell och komplett mola
91001 	Invasiv mola
91003 	Choriocarcinom
91013 	Choriocarcinom kombinerat med andra germinalcellskomponenter (teratom/embryonalt
91030 	Mola/mola hydatidosa (druvbörd) partiell
91041 	Placental site trophoblastic tumor
91053 	Trofoblastisk tumör, epiteloid
91101 	Mesonefroid tumör, UNS
91103 	Mesonefrom, malignt
91200 	Hemangiom
91201 	Misstänkt hemangiosarkom
91203 	Angiosarkom
91243 	Kupffercellssarkom (C22.0)
