Kod 	Klartext
89803 	"Carcinosarkom"
89811 	"Misstänkt carcinosarkom av embryonal typ"
89813 	"Carcinosarkom av embryonal typ"
89823 	"Malignt myoepitelium"
89901 	"Misstänkt mesenkymom, malignt"
89903 	"Mesenkymom, malignt"
90001 	"Brenner tumör, borderline-typ"
90003 	"Brenner tumör, malign"
90200 	"Adenoma phyllodes"
90201 	"Misstänkt cystosarcoma phyllodes"
90203 	"Cystosarcoma phyllodes"
90401 	"Misstänkt synovialom, malignt"
90403 	"Synovialom, malignt"
90441 	"Misstänkt klarcellssarkom"
90141 	"Serös, av adenofibromtyp (ovanlig) Borderlinetumör"
90143 	"Adenocarcinofibrom, serös"
90443 	"Klarcellssarkom"
90501 	"Misstänkt mesoteliom"
90503 	"Mesoteliom"
90540 	"Adenomatoid tumör i bitestikel"
90601 	"Misstänkt dysgerminom"
90603 	"Dysgerminom"
90611 	"Misstänkt seminom"
90612 	"Seminom in situ"
90613 	"Seminom"
90641 	"Misstänkt germinom"
90643 	"Germinom"
90701 	"Misstänkt embryonalt carcinom"
90703 	"Embryonalt carcinom"
90711 	"Misstänkt gulsäckstumör (endodermal sinustumör)"
90713 	"Gulsäckstumör (endodermal sinustumör)"
90721 	"Misstänkt embryonalt carcinom"
90513 	"Mesoteliom, fibröst, malignt (C38.0, C38.4)"
90523 	"Mesoteliom, epiteloitt, malignt (C38.0, C38.4)"
90533 	"Mesoteliom, bifasiskt, malignt (C38.0, C38.4)"
90633 	"Seminom, spermatocytiskt"
90653 	"Germinalcellstumör, utan seminomkomponent"
90723 	"Embryonalt carcinom"
90800 	"Teratom, benignt"
90801 	"Moget teratom"
90803 	"Teratom, malignt"
90840 	"Dermoidcysta"
90841 	"Misstänkt dermoidcysta med malign omvandling"
90843 	"Dermoidcysta med malign omvandling"
90853 	"Blandad germinalcellstumör"
91000 	"Benign mola, mola hydatidosa (druvbörd)"
91001 	"Misstänk choricarcinom"
91002 	"Mola destruens"
91003 	"Choriocarcinom"
91043 	"Trofoblastisk tumör, malignt"
91101 	"Misstänkt mesonefroid cancer"
91103 	"Mesonefroid cancer"
91200 	"Hemangiom UNS"
90852 	"Germinalcellsdysplasi"
90813 	"Teratocarcinom (blandat embryonalt carcinom och teratom)"
90903 	"Struma ovarii, malign"
90911 	"Carcinoid i struma ovarii"
91013 	"Choriocarcinom kombinerat med andra germinalcellskomponenter (teratom/embryo"nalt
91041 	"Placental site trophoblastic tumor"
91053 	"Trofoblastisk tumör, epiteloid"
91201 	"Misstänkt hemangiosarkom"
91203 	"Hemangiosarkom"
91301 	"Angioretikulom (Lindau)"
91303 	"Hemangioendoteliom, malignt"
91401 	"Misstänkt Kaposis sarkom"
91403 	"Kaposis sarkom"
91501 	"Misstänkt hemangiopericytom, malignt"
91503 	"Hemangiopericytom, malignt"
91600 	"Juvenilt angiofibrom"
91611 	"Hemangioblastom"
91703 	"Lymfangiosarkom"
91801 	"Misstänkt osteosarkom"
91803 	"Osteosarkom"
92200 	"Osteoblastom"
92201 	"Misstänkt kondrosarkom"
92203 	"Kondrosarkom"
91243 	"Kupffercellssarkom (C22.0)"
91813 	"Osteosarkom, kondroblastiskt"
91823 	"Osteosarkom, fibroblastiskt"
91843 	"Osteosarkom utvecklat från Pagets sjukdom i ben"
91853 	"Osteosarkom, småcelligt"
91863 	"Osteosarkom, centralt"
91873 	"Osteosarkom, intraosseöst, högt differentierat"
91923 	"Osteosarkom, juxtakortikalt"
91933 	"Osteosarkom, periostealt"
91943 	"Osteosarkom, ytligt växande, högt differentierat"
92001 	"Osteoblastom, aggressivt"
92101 	"Osteokondromatos"
92213 	"Kondrosarkom, juxtakortikalt"
92311 	"Misstänkt kondro-myxo-sarkom"
92313 	"Kondro-myxo-sarkom"
92501 	"Osteoklastom, benignt"
92503 	"Jättecellstumör grad III, malign (malignt osteoklastom)"
92601 	"Misstänkt Ewings sarkom"
92603 	"Ewings sarkom"
92613 	"Adamantinom malignt (långa rörben)"
92800 	"Odontom"
93100 	"Adamantinom (utom långa rörben), ameloblastom"
93103 	"Ameloblastom malignt"
93501 	"Kraniofaryngeom"
93601 	"Pinealom"
93621 	"Misstänkt Pinealom, malignt"
93623 	"Pinealom, malignt"
93630 	"Melanotic neuroectodermal tumör"
93641 	"Misstänkt perifert neurofibrosarkom"
92403 	"Kondrosarkom, mesenkymalt"
92423 	"Kondrosarkom, klarcelligt"
92433 	"Kondrosarkom, dedifferentierat"
92701 	"Odontogen tumör UNS"
92903 	"Ameloblastiskt odontosarkom"
93013 	"Gliomatosis cerebri"
93303 	"Ameloblastiskt fibrosarkom"
93411 	"Clear cell odontogenic tumör"
93423 	"Odontogent carcinosarkom"
93643 	"Perifer neurofibrosarkom"
93703 	"Kordom"
